Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote Frauen;Arbeitslosenquote Männer;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Helfer;Arbeitslosenquote Ältere;Arbeitslosenquote Jüngere;Baulandpreise;Angebotsmietpreise;Wohnfläche;Beschäftigtenquote Ausländer;Teilzeitbeschäftigte;Teilzeitbeschäftige Frauen;Selbständigenquote;Erwerbsquote Frauen;Erwerbsquote Männer;Beschäftigte am AO mit akademischem Berufsabschluss;Beschäftigte am AO mit Berufsabschluss;Beschäftigte am AO ohne Berufsabschluss;Beschäftigte am WO mit akademischen Abschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO ohne Berufsabschluss;Kurzarbeiter;Geringfügig Beschäftigte 65 Jahre und älter;Geringfügig Beschäftigte 65 Jahre und älter männlich;Geringfügig Beschäftigte 65 Jahre und älter weiblich;Anteil Erwerbstätige Verarbeitendes Gewerbe an Industrie;Anteil Erwerbstätige Finanz- und Unternehmensdienstleistungen;Einwohner 85 Jahre und älter;Ausländeranteil;Ausländerinnen;Schutzsuchende an ausländischer Bevölkerung;Zuzugsrate;Fortzugsrate;Fertilitätsrate;Wahlbeteiligung;Stimmenanteile CDU/CSU;Stimmenanteile SPD;Stimmenanteile Grüne;Stimmenanteile FDP;Stimmenanteile Sonstige Parteien;Stimmenanteile Die Linke;Stimmenanteile AfD;Ausbildungsplätze;Berufsschüler;Berufsschülerinnen;Ausländische Berufsschüler;Auszubildende;Schulabgänger mit allgemeiner Hochschulreife;Schulabgänger mit mittlerem Abschluss;Schulabgänger mit Hauptschulabschluss;Schulabgänger ohne Abschluss;Medianeinkommen;Haushaltseinkommen;Krankenhausbetten;Kommunale Schulden;SGB II - Quote;Wohngeldhaushalte;Empfänger von Grundsicherung im Alter (Altersarmut);Weibliche Empfänger von Grundsicherung im Alter (Altersarmut);Männliche Empfänger von Grundsicherung im Alter (Altersarmut);Asylbewerber;Empfänger von Mindestsicherungen;ALG I-Leistungen;ALG I-Leistungen Männer;ALG I-Leistungen Frauen;Pkw-Dichte;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Erwerbstätigen;Anteil Bruttowertschöpfung Primärer Sektor;Anteil Bruttowertschöpfung Sekundärer Sektor;Anteil Bruttowertschöpfung Tertiärer Sektor;Stickstoffüberschuss;Krankenhausversorgung;Schulabgänger ohne Abschluss;Angebotsmietpreise
;;;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2021;2021;2022;2022;2022;2022;2022;2022;2022;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2021;2021;2021;2019;2021;2021;2022;2022;2022;2021;2021;2022;2022;2022;2022;2021;2021;2021;2021;2021;2018;2021;2022;2022
"05358";"Düren";"Kreise";"6,29";"6,61";"8,17";"9,84";"57,78";"24,17";"4,57";"6,42";"194,36";"7,72";"49,13";"45,91";"32,34";"54,87";"8,42";"77,97";"88,93";"14,84";"58,68";"16,19";"13,36";"63,05";"14,91";"0,28";"16,15";"21,05";"12,71";"83,41";"30,23";"3,04";"13,13";"48,27";"27,99";"64,59";"45,47";"1,63";"77,00";"30,38";"28,96";"11,14";"11,24";"6,61";"3,00";"8,66";"109,14";"12,98";"31,15";"13,80";"43,06";"39,05";"36,57";"16,94";"7,44";"3.512,75";"1.898,89";"6,78";"2.342,41";"9,38";"13,77";"3,00";"57,26";"42,74";"5,38";"9,45";"1.105,37";"1.253,00";"892,68";"615,47";"31,76";"68,61";"1,33";"28,81";"69,86";"0,78";"6,78";"7,44";"7,72"
"05362";"Rhein-Erft-Kreis";"Kreise";"6,31";"6,20";"7,61";"13,02";"57,62";"21,72";"6,23";"4,43";"404,01";"9,90";"46,84";"55,32";"27,86";"49,69";"9,94";"80,05";"91,65";"13,92";"58,13";"15,45";"17,26";"57,92";"13,79";"0,20";"13,49";"16,56";"11,25";"77,70";"21,40";"3,12";"14,24";"50,41";"22,86";"60,44";"44,36";"1,56";"78,30";"28,29";"28,17";"14,84";"12,32";"6,42";"3,01";"6,95";"109,29";"12,81";"27,10";"15,10";"35,17";"37,22";"43,64";"13,80";"5,24";"3.432,89";"2.036,97";"2,82";"1.861,31";"8,20";"14,30";"3,42";"60,11";"39,89";"3,36";"8,13";"1.189,83";"1.361,98";"967,50";"600,49";"37,66";"89,25";"0,62";"34,19";"65,18";"0,96";"2,82";"5,24";"9,90"
"05366";"Euskirchen";"Kreise";"5,24";"5,40";"7,60";"11,31";"57,70";"23,39";"5,30";"3,99";"122,67";"7,94";"52,59";"48,10";"31,08";"53,58";"9,74";"80,88";"89,39";"10,06";"64,89";"14,94";"11,42";"65,90";"13,86";"0,39";"17,07";"22,36";"13,35";"92,19";"16,27";"3,02";"9,15";"48,77";"29,63";"63,51";"46,53";"1,54";"76,60";"32,03";"25,83";"11,94";"12,46";"6,56";"2,87";"8,31";"109,29";"9,40";"31,00";"8,63";"41,50";"39,95";"37,56";"14,83";"7,42";"3.351,72";"1.937,05";"6,27";"1.643,07";"6,30";"16,17";"2,37";"54,98";"44,55";"4,88";"6,91";"1.101,21";"1.291,59";"876,27";"688,51";"29,78";"69,68";"1,74";"29,32";"68,94";"0,63";"6,27";"7,42";"7,94"
"05370";"Heinsberg";"Kreise";"5,02";"4,97";"5,58";"9,87";"59,67";"24,93";"4,45";"4,17";"160,47";"7,48";"51,27";"40,01";"30,55";"53,16";"9,75";"77,59";"87,16";"9,98";"62,50";"17,08";"11,28";"64,48";"15,31";"0,26";"16,49";"22,60";"12,32";"89,73";"18,15";"2,98";"13,53";"48,06";"20,96";"58,11";"40,81";"1,60";"75,60";"32,27";"26,97";"11,71";"11,13";"6,89";"3,15";"7,89";"109,12";"12,49";"32,26";"14,98";"49,28";"37,50";"41,29";"15,91";"5,30";"3.215,82";"1.850,63";"3,77";"954,57";"6,77";"16,20";"2,52";"60,90";"39,10";"5,38";"7,42";"1.072,95";"1.236,41";"867,12";"633,35";"27,79";"65,43";"1,71";"30,12";"68,17";"1,83";"3,77";"5,30";"7,48"
"05374";"Oberbergischer Kreis";"Kreise";"4,88";"5,08";"6,95";"12,65";"54,76";"25,64";"5,15";"3,96";"106,42";"7,23";"49,09";"49,50";"25,18";"49,05";"8,34";"80,43";"93,36";"14,75";"63,36";"15,01";"11,85";"65,34";"15,43";"0,59";"15,25";"19,70";"12,09";"95,54";"26,03";"3,32";"11,44";"48,72";"29,92";"53,90";"35,71";"1,69";"77,50";"27,74";"26,73";"12,58";"12,48";"7,64";"3,25";"9,59";"104,90";"17,14";"31,14";"11,44";"40,69";"36,06";"44,09";"14,96";"4,72";"3.532,36";"2.040,40";"5,50";"3.114,54";"5,95";"17,86";"2,73";"61,45";"38,55";"3,88";"6,45";"1.164,73";"1.338,58";"913,38";"657,09";"37,88";"72,11";"0,69";"40,98";"58,33";"1,17";"5,50";"4,72";"7,23"
"05378";"Rheinisch-Bergischer Kreis";"Kreise";"5,21";"5,74";"9,96";"14,18";"55,69";"20,11";"5,42";"4,52";"393,85";"9,27";"50,71";"50,00";"32,11";"51,61";"11,43";"81,61";"90,22";"17,22";"59,30";"14,28";"21,01";"58,46";"11,86";"0,39";"14,61";"18,13";"12,14";"96,02";"20,89";"3,78";"11,01";"51,15";"29,75";"55,61";"41,17";"1,57";"81,50";"27,42";"25,26";"18,35";"13,86";"6,43";"2,97";"5,71";"104,94";"5,19";"31,31";"22,56";"43,01";"44,59";"38,35";"12,48";"4,59";"3.446,58";"2.331,37";"4,18";"1.623,16";"7,37";"12,56";"2,93";"60,00";"40,25";"3,78";"7,29";"1.298,60";"1.484,68";"1.061,37";"643,13";"29,02";"72,84";"0,35";"27,14";"72,51";"2,67";"4,18";"4,59";"9,27"
"05382";"Rhein-Sieg-Kreis";"Kreise";"4,72";"5,23";"8,74";"12,17";"59,35";"19,74";"4,54";"4,10";"261,66";"9,62";"49,53";"49,27";"32,12";"52,93";"10,13";"81,41";"88,99";"14,51";"59,33";"15,21";"18,19";"58,90";"13,38";"0,18";"14,24";"17,73";"11,80";"91,21";"21,22";"3,19";"11,84";"49,37";"24,46";"59,05";"43,20";"1,57";"80,20";"28,51";"25,20";"16,66";"12,85";"6,79";"3,32";"6,67";"98,62";"7,19";"28,57";"14,51";"40,58";"43,44";"37,26";"15,16";"4,15";"3.342,35";"2.133,99";"2,15";"2.861,61";"6,91";"13,28";"2,99";"60,69";"39,31";"3,65";"7,08";"1.160,51";"1.331,89";"961,25";"615,62";"29,93";"72,26";"0,96";"24,69";"74,36";"0,67";"2,15";"4,15";"9,62"
"05512";"Bottrop, Stadt";"Kreise";"6,98";"7,63";"8,79";"10,11";"59,56";"21,43";"5,47";"6,26";"283,50";"7,31";"43,26";"40,85";"30,56";"50,19";"8,46";"76,79";"88,16";"9,90";"61,63";"16,98";"12,68";"63,73";"13,98";"0,41";"14,46";"16,30";"12,85";"88,14";"18,49";"3,50";"12,73";"49,21";"29,86";"44,08";"31,99";"1,53";"74,80";"23,32";"36,27";"11,39";"9,84";"6,64";"3,17";"9,38";"111,80";"8,34";"32,99";"21,83";"42,18";"40,38";"37,50";"16,83";"4,81";"3.300,58";"1.857,38";"5,98";"2.589,55";"11,81";"22,36";"3,07";"61,18";"38,82";"3,32";"10,93";"1.063,86";"1.205,25";"878,81";"591,99";"24,57";"62,53";"0,62";"26,91";"72,47";"12,97";"5,98";"4,81";"7,31"
"05513";"Gelsenkirchen, Stadt";"Kreise";"14,42";"13,79";"13,98";"11,82";"54,26";"19,89";"10,87";"11,70";"228,58";"6,13";"40,05";"36,58";"29,45";"47,95";"6,96";"71,93";"85,63";"12,26";"59,62";"15,91";"9,17";"59,14";"18,24";"0,33";"14,58";"18,09";"11,83";"74,26";"23,36";"3,11";"24,01";"47,87";"24,63";"57,89";"44,63";"1,80";"66,70";"19,85";"37,14";"10,04";"8,74";"8,01";"3,46";"12,76";"111,69";"22,47";"29,61";"16,07";"42,38";"32,13";"38,78";"18,44";"10,46";"3.429,87";"1.490,75";"8,70";"4.871,47";"23,98";"18,01";"6,00";"58,19";"41,81";"5,75";"21,85";"1.037,21";"1.143,96";"851,56";"474,94";"33,69";"76,20";"0,04";"31,81";"68,15";"12,43";"8,70";"10,46";"6,13"
"05515";"Münster, Stadt";"Kreise";"4,01";"4,85";"11,73";"11,78";"57,20";"19,32";"4,53";"2,55";"668,55";"11,49";"45,24";"47,00";"33,83";"48,56";"6,23";"76,20";"81,22";"25,56";"53,71";"13,63";"33,80";"44,78";"14,14";"0,11";"9,03";"9,03";"9,03";"84,38";"23,18";"2,92";"11,96";"49,80";"28,31";"76,97";"66,18";"1,13";"83,90";"22,40";"23,45";"30,72";"10,63";"4,94";"4,99";"2,87";"103,91";"40,16";"40,03";"10,82";"43,01";"50,08";"32,23";"11,69";"5,85";"3.767,18";"2.021,99";"11,50";"2.761,85";"7,07";"18,36";"4,73";"55,00";"45,00";"5,02";"8,06";"1.118,80";"1.215,33";"999,84";"472,14";"59,17";"78,59";"0,20";"10,95";"88,85";"4,58";"11,50";"5,85";"11,49"
"05554";"Borken";"Kreise";"3,81";"3,29";"8,35";"10,12";"60,00";"21,54";"3,78";"2,80";"195,53";"7,78";"48,39";"40,83";"26,22";"52,08";"8,19";"84,15";"93,85";"9,10";"69,45";"13,46";"10,00";"69,29";"13,10";"0,35";"14,10";"20,09";"9,77";"94,77";"18,72";"2,79";"11,28";"46,54";"30,26";"46,73";"30,03";"1,64";"79,50";"36,88";"26,28";"12,90";"11,81";"4,52";"2,55";"5,06";"112,06";"20,27";"31,75";"10,67";"47,58";"32,87";"44,92";"17,44";"4,77";"3.344,41";"2.022,43";"5,07";"939,70";"4,27";"19,39";"2,62";"59,90";"40,10";"3,48";"5,06";"1.097,72";"1.276,73";"844,27";"611,30";"40,63";"71,03";"2,33";"40,61";"57,06";"0,97";"5,07";"4,77";"7,78"
"05558";"Coesfeld";"Kreise";"2,72";"2,87";"4,19";"8,54";"62,45";"24,82";"2,71";"2,66";"248,20";"7,78";"49,54";"46,24";"31,16";"54,72";"10,06";"84,59";"91,99";"10,00";"67,10";"12,86";"13,45";"67,13";"11,22";"0,23";"16,67";"22,31";"12,53";"93,72";"17,95";"3,11";"8,21";"46,95";"51,83";"54,18";"36,68";"1,68";"82,50";"34,50";"26,69";"15,73";"11,13";"4,70";"2,51";"4,73";"112,09";"12,71";"33,10";"12,43";"49,18";"36,54";"44,86";"14,44";"4,38";"3.267,42";"2.122,23";"4,27";"558,92";"4,08";"17,04";"2,42";"61,57";"38,43";"5,53";"5,11";"1.116,84";"1.291,63";"867,08";"637,05";"31,81";"68,10";"3,39";"29,13";"67,48";"1,08";"4,27";"4,38";"7,78"
"05562";"Recklinghausen";"Kreise";"7,80";"8,02";"7,52";"12,48";"62,06";"17,93";"6,94";"5,95";"267,88";"6,69";"45,63";"43,88";"31,80";"52,74";"8,75";"77,84";"90,86";"11,05";"61,83";"14,50";"12,18";"63,09";"13,70";"0,37";"15,76";"19,77";"12,91";"87,64";"17,94";"3,44";"13,71";"49,99";"32,53";"61,10";"44,10";"1,64";"74,00";"24,48";"35,04";"11,71";"9,94";"6,47";"3,16";"9,19";"98,31";"15,67";"31,57";"14,16";"47,50";"32,83";"42,36";"16,29";"8,52";"3.341,61";"1.857,49";"6,51";"3.855,03";"13,86";"16,51";"3,81";"60,25";"39,75";"4,39";"12,79";"1.076,58";"1.212,06";"881,46";"582,71";"27,70";"67,84";"0,44";"29,19";"70,37";"1,71";"6,51";"8,52";"6,69"
"05566";"Steinfurt";"Kreise";"4,23";"4,01";"6,12";"9,72";"60,79";"23,38";"3,61";"3,61";"194,22";"7,63";"49,46";"46,65";"29,87";"54,29";"8,09";"83,78";"92,74";"11,67";"65,20";"14,30";"12,08";"65,64";"14,07";"0,18";"15,56";"20,33";"11,90";"95,01";"17,44";"2,98";"11,60";"46,08";"32,03";"58,57";"42,47";"1,69";"79,40";"29,37";"31,36";"15,21";"10,78";"4,80";"2,98";"5,50";"111,14";"13,67";"30,53";"13,38";"45,05";"32,38";"45,70";"16,50";"5,43";"3.251,23";"2.009,70";"4,45";"1.043,28";"5,12";"19,99";"2,86";"59,63";"40,37";"6,46";"6,23";"1.074,72";"1.243,11";"850,22";"615,68";"36,45";"71,40";"1,87";"33,00";"65,13";"0,66";"4,45";"5,43";"7,63"
"05570";"Warendorf";"Kreise";"4,69";"4,38";"4,38";"6,93";"63,88";"24,79";"4,42";"3,73";"0,00";"7,52";"49,27";"52,51";"27,20";"51,70";"8,52";"83,51";"94,26";"11,98";"65,34";"14,41";"11,77";"65,46";"14,20";"0,57";"16,40";"21,32";"12,65";"97,31";"20,48";"3,33";"12,51";"48,78";"24,92";"59,34";"41,64";"1,65";"79,40";"31,42";"28,94";"14,16";"11,05";"5,28";"2,75";"6,40";"103,85";"12,17";"29,84";"14,99";"46,93";"36,36";"43,18";"16,40";"4,06";"3.447,94";"2.071,32";"4,63";"707,51";"6,08";"16,19";"2,59";"61,18";"39,13";"1,85";"6,32";"1.098,37";"1.267,36";"880,48";"624,81";"34,50";"69,90";"2,75";"37,36";"59,89";"0,87";"4,63";"4,06";"7,52"
"05711";"Bielefeld, Stadt";"Kreise";"7,74";"8,02";"6,24";"10,72";"59,02";"24,02";"7,41";"5,48";"326,16";"8,26";"43,62";"45,54";"33,59";"52,96";"6,53";"76,85";"88,78";"19,16";"55,00";"16,19";"21,52";"50,53";"17,52";"0,23";"11,02";"12,93";"9,51";"90,00";"21,25";"3,40";"17,40";"51,55";"34,28";"80,13";"64,85";"1,39";"76,10";"20,15";"27,05";"21,81";"11,28";"6,61";"6,30";"6,80";"106,02";"33,87";"36,47";"13,74";"40,09";"35,86";"45,73";"10,95";"7,34";"3.564,14";"1.919,01";"9,82";"1.198,40";"12,42";"20,94";"5,73";"56,83";"43,17";"3,74";"12,68";"1.060,15";"1.174,77";"899,09";"522,94";"44,23";"67,89";"0,12";"22,65";"77,23";"3,33";"9,82";"7,34";"8,26"
"05754";"Gütersloh";"Kreise";"4,08";"3,66";"4,82";"8,81";"59,03";"27,35";"3,37";"2,99";"303,96";"7,80";"47,85";"60,88";"23,31";"47,91";"6,52";"82,72";"94,43";"12,60";"61,19";"15,90";"11,42";"60,98";"16,39";"0,61";"14,37";"18,49";"11,32";"97,84";"24,57";"3,13";"15,19";"48,09";"23,20";"64,99";"48,89";"1,70";"77,10";"29,33";"26,44";"15,80";"11,96";"5,98";"2,92";"7,56";"106,03";"15,82";"34,47";"14,30";"37,11";"39,87";"39,87";"15,92";"4,33";"3.416,78";"2.202,04";"3,62";"528,02";"5,25";"18,65";"2,90";"59,23";"40,77";"4,22";"5,78";"1.093,20";"1.274,09";"881,89";"632,09";"52,01";"81,69";"0,77";"45,07";"54,16";"1,21";"3,62";"4,33";"7,80"
"05758";"Herford";"Kreise";"5,08";"5,22";"4,32";"9,66";"55,68";"30,34";"5,04";"4,29";"146,19";"6,79";"49,51";"47,01";"28,53";"52,52";"8,59";"81,84";"91,50";"11,07";"64,89";"15,83";"11,68";"64,74";"15,80";"1,07";"15,52";"20,16";"12,20";"95,56";"19,43";"3,75";"11,78";"48,16";"31,10";"63,42";"46,37";"1,57";"75,50";"23,23";"31,85";"13,39";"11,73";"6,59";"3,58";"9,62";"93,11";"20,15";"33,56";"13,99";"40,17";"37,14";"45,18";"12,68";"4,82";"3.284,57";"2.036,66";"4,42";"2.311,24";"7,13";"14,77";"2,97";"57,65";"42,65";"5,45";"7,56";"1.064,36";"1.230,10";"865,42";"650,42";"36,54";"72,18";"0,41";"39,01";"60,58";"2,07";"4,42";"4,82";"6,79"
"05762";"Höxter";"Kreise";"3,48";"3,94";"6,82";"10,14";"57,65";"25,44";"3,73";"3,06";"0,00";"5,93";"53,71";"39,42";"31,95";"57,43";"9,76";"80,20";"89,68";"9,37";"69,76";"13,98";"11,02";"69,96";"12,71";"1,14";"17,39";"24,79";"12,75";"94,70";"14,48";"3,56";"8,30";"45,84";"39,84";"69,57";"52,45";"1,61";"78,40";"35,72";"26,30";"10,72";"11,36";"5,44";"2,77";"7,71";"102,57";"14,00";"27,46";"9,82";"46,95";"38,58";"38,87";"16,32";"6,53";"3.135,97";"1.982,61";"7,43";"680,39";"4,96";"16,23";"1,84";"57,26";"42,74";"6,50";"5,61";"1.079,09";"1.237,68";"828,59";"643,96";"30,26";"66,72";"2,81";"30,44";"66,75";"0,72";"7,43";"6,53";"5,93"
"05766";"Lippe";"Kreise";"4,85";"5,40";"4,62";"10,38";"58,90";"26,13";"4,13";"4,88";"0,00";"6,77";"49,46";"42,05";"30,48";"53,90";"8,44";"80,75";"91,48";"13,48";"63,92";"14,36";"12,84";"64,48";"14,45";"0,93";"16,16";"21,03";"12,73";"95,72";"17,18";"3,70";"10,64";"48,93";"39,13";"54,21";"37,09";"1,72";"76,70";"23,06";"31,19";"13,27";"11,76";"7,09";"3,66";"9,98";"97,41";"13,33";"35,08";"16,68";"43,02";"32,76";"44,74";"16,71";"5,92";"3.464,32";"2.003,46";"4,01";"2.340,27";"8,29";"18,68";"3,08";"57,52";"42,48";"4,71";"8,27";"1.078,17";"1.233,56";"868,21";"626,98";"33,04";"70,94";"0,72";"36,17";"63,10";"0,75";"4,01";"5,92";"6,77"
"05770";"Minden-Lübbecke";"Kreise";"5,02";"5,23";"6,18";"9,11";"55,18";"29,53";"3,93";"5,20";"109,84";"7,50";"51,01";"45,62";"28,64";"51,44";"7,59";"80,14";"90,31";"12,33";"65,60";"14,87";"11,61";"65,80";"15,02";"0,77";"16,69";"21,98";"12,97";"94,92";"20,03";"3,61";"10,71";"49,13";"41,78";"56,88";"37,44";"1,67";"75,30";"23,85";"32,18";"13,14";"11,60";"6,82";"3,25";"9,16";"93,15";"17,58";"33,75";"9,81";"43,57";"36,85";"40,00";"14,52";"8,49";"3.366,63";"2.013,81";"7,16";"1.011,85";"8,34";"18,92";"3,28";"58,49";"41,51";"6,20";"8,75";"1.092,65";"1.243,29";"880,80";"652,75";"44,59";"80,35";"0,99";"32,54";"66,46";"0,83";"7,16";"8,49";"7,50"
"05774";"Paderborn";"Kreise";"4,93";"4,89";"8,17";"11,50";"56,72";"23,61";"5,39";"3,53";"213,02";"8,07";"48,29";"46,91";"30,45";"53,92";"7,96";"79,78";"89,98";"16,24";"60,62";"14,45";"17,41";"60,23";"14,11";"0,80";"14,25";"18,50";"10,97";"96,00";"18,77";"2,70";"11,25";"46,53";"34,92";"56,41";"41,21";"1,51";"77,00";"33,01";"22,09";"15,25";"12,36";"5,88";"3,31";"8,11";"102,60";"22,13";"29,73";"10,73";"45,04";"38,98";"41,23";"14,54";"5,25";"3.350,65";"1.938,81";"5,75";"730,97";"6,88";"15,87";"3,63";"58,96";"40,82";"4,15";"7,38";"1.092,78";"1.247,83";"864,06";"596,64";"38,33";"70,46";"1,23";"31,73";"67,04";"0,78";"5,75";"5,25";"8,07"
"05911";"Bochum, Stadt";"Kreise";"8,17";"8,93";"8,87";"11,15";"57,81";"22,17";"8,47";"5,68";"331,46";"7,62";"43,03";"41,27";"32,57";"50,01";"7,26";"77,13";"87,70";"19,44";"55,09";"15,66";"23,18";"51,92";"15,17";"0,34";"12,71";"15,67";"10,50";"87,06";"20,70";"3,63";"15,37";"48,35";"43,08";"57,95";"46,40";"1,24";"75,50";"19,12";"33,77";"18,75";"9,34";"6,59";"5,17";"7,25";"106,73";"21,09";"38,24";"13,35";"41,18";"39,58";"36,36";"15,52";"8,39";"3.551,35";"1.816,26";"9,48";"4.711,45";"14,05";"13,73";"4,75";"56,38";"43,49";"2,77";"13,09";"1.106,76";"1.214,26";"948,64";"577,38";"37,70";"70,52";"0,02";"18,39";"81,59";"3,76";"9,48";"8,39";"7,62"
"05913";"Dortmund, Stadt";"Kreise";"10,80";"10,90";"7,24";"8,49";"60,84";"23,43";"8,45";"8,90";"426,92";"8,49";"42,63";"43,27";"29,75";"47,02";"6,79";"76,55";"89,74";"19,20";"54,86";"15,89";"19,83";"52,16";"17,04";"0,20";"12,22";"15,05";"10,17";"82,43";"24,59";"3,09";"20,75";"49,12";"25,09";"61,19";"46,86";"1,46";"73,80";"18,63";"34,00";"18,00";"9,47";"7,83";"4,68";"7,40";"101,65";"27,46";"36,68";"15,29";"40,28";"36,98";"39,86";"14,81";"8,44";"3.614,85";"1.751,56";"6,68";"3.829,20";"17,72";"20,81";"7,15";"57,82";"42,18";"4,04";"16,90";"1.044,78";"1.133,90";"913,34";"502,12";"41,91";"73,90";"0,04";"19,17";"80,79";"1,95";"6,68";"8,44";"8,49"
"05914";"Hagen, Stadt der FernUniversität";"Kreise";"11,03";"11,21";"7,65";"10,91";"62,41";"18,45";"9,47";"8,92";"0,00";"6,28";"43,81";"44,44";"28,34";"48,68";"7,05";"78,01";"92,72";"13,28";"60,65";"17,59";"11,40";"58,54";"20,18";"0,70";"14,26";"18,28";"11,33";"90,86";"19,79";"3,49";"22,46";"49,08";"21,80";"58,16";"47,99";"1,72";"69,30";"23,60";"32,89";"11,42";"10,75";"7,27";"3,56";"10,50";"101,99";"33,49";"33,04";"16,84";"40,55";"35,88";"38,89";"18,52";"6,71";"3.493,91";"1.738,38";"8,17";"5.660,59";"17,36";"18,81";"5,10";"59,29";"40,71";"3,34";"16,14";"1.056,56";"1.173,39";"847,03";"526,39";"35,66";"69,74";"0,06";"27,37";"72,57";"6,21";"8,17";"6,71";"6,28"
"05915";"Hamm, Stadt";"Kreise";"7,99";"8,01";"9,55";"8,50";"58,21";"23,73";"5,36";"6,11";"224,96";"6,78";"42,73";"45,41";"31,29";"52,95";"7,25";"75,16";"87,39";"11,13";"60,59";"16,46";"10,37";"60,37";"17,36";"0,23";"16,17";"20,64";"12,68";"91,38";"18,68";"3,17";"18,01";"47,43";"20,22";"62,90";"49,72";"1,57";"72,50";"24,26";"35,69";"11,16";"10,12";"6,17";"3,36";"9,24";"102,45";"16,31";"35,42";"13,73";"48,78";"27,32";"45,61";"20,49";"6,34";"3.284,86";"1.678,16";"9,73";"2.098,70";"11,44";"31,86";"3,96";"58,22";"41,78";"6,30";"11,24";"1.010,62";"1.131,91";"834,29";"551,30";"30,84";"65,73";"0,49";"25,39";"74,11";"4,70";"9,73";"6,34";"6,78"
"05916";"Herne, Stadt";"Kreise";"10,58";"10,77";"7,94";"9,42";"59,34";"23,21";"7,74";"9,69";"0,00";"6,56";"41,37";"41,77";"32,26";"47,77";"7,52";"73,10";"86,48";"11,75";"58,16";"17,67";"10,78";"58,60";"17,57";"0,07";"14,95";"18,41";"12,39";"73,75";"15,55";"3,30";"20,43";"49,13";"30,18";"60,47";"50,39";"1,66";"69,50";"19,53";"38,76";"11,42";"8,64";"7,67";"3,85";"10,13";"106,72";"11,88";"39,04";"25,13";"72,39";"34,66";"36,81";"16,56";"12,27";"3.504,76";"1.605,23";"10,30";"4.900,04";"17,70";"20,92";"4,77";"58,10";"41,90";"3,06";"16,20";"1.031,85";"1.136,70";"855,68";"500,87";"27,77";"66,72";"0,03";"27,01";"72,96";"10,66";"10,30";"12,27";"6,56"
"05954";"Ennepe-Ruhr-Kreis";"Kreise";"6,04";"6,44";"4,84";"9,81";"58,12";"27,23";"5,03";"5,29";"267,98";"6,95";"47,20";"43,29";"29,00";"51,62";"8,95";"80,56";"90,95";"13,56";"62,02";"15,63";"16,21";"61,90";"14,11";"0,62";"16,32";"20,82";"13,28";"95,39";"18,62";"3,66";"12,38";"49,60";"30,76";"50,32";"34,52";"1,50";"77,40";"22,63";"33,52";"15,22";"11,05";"6,63";"3,53";"7,41";"101,89";"9,52";"28,59";"16,16";"37,78";"40,44";"41,35";"12,75";"5,65";"3.475,64";"2.140,09";"5,09";"2.973,08";"9,77";"17,75";"3,25";"60,78";"39,42";"4,76";"9,52";"1.143,37";"1.291,09";"938,57";"620,45";"31,70";"69,23";"0,24";"34,77";"64,99";"2,43";"5,09";"5,65";"6,95"
"05958";"Hochsauerlandkreis";"Kreise";"3,98";"3,74";"6,39";"9,56";"54,46";"29,59";"3,65";"3,08";"80,09";"6,63";"53,20";"47,32";"27,20";"52,02";"8,25";"83,96";"94,30";"9,98";"66,67";"14,58";"10,37";"66,73";"14,56";"0,70";"16,84";"22,82";"12,70";"94,87";"18,57";"3,44";"11,13";"47,50";"30,85";"51,75";"35,25";"1,57";"78,10";"33,45";"28,71";"9,95";"12,03";"5,87";"2,57";"7,42";"108,46";"24,86";"26,06";"10,68";"45,45";"29,52";"44,95";"20,19";"5,52";"3.419,27";"2.155,56";"8,28";"1.556,19";"5,35";"14,59";"2,66";"60,82";"39,50";"4,06";"6,12";"1.102,42";"1.267,70";"874,76";"652,52";"39,76";"68,40";"1,94";"38,94";"59,12";"0,44";"8,28";"5,52";"6,63"
"05962";"Märkischer Kreis";"Kreise";"6,35";"6,35";"5,74";"9,96";"60,29";"24,01";"6,19";"4,27";"138,86";"6,39";"47,30";"47,03";"23,65";"46,10";"7,40";"79,66";"93,74";"10,71";"63,40";"17,95";"10,30";"63,80";"18,06";"0,78";"15,37";"20,85";"11,72";"97,11";"21,47";"3,31";"15,21";"49,47";"25,06";"46,28";"31,44";"1,58";"73,10";"27,77";"29,58";"10,59";"12,13";"7,14";"3,30";"9,49";"106,26";"13,82";"33,16";"13,93";"39,41";"33,65";"43,29";"15,06";"8,00";"3.510,65";"2.112,82";"6,42";"2.121,51";"9,03";"15,26";"3,12";"61,03";"38,79";"3,58";"8,93";"1.139,83";"1.312,44";"899,79";"625,07";"38,71";"73,79";"0,48";"48,71";"50,81";"0,97";"6,42";"8,00";"6,39"
